시군구,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
경기도 고양시일산서구 덕이동,하이파크시티일산아이파크1단지,124.8758,12,"54,500",12,2011,하이파크로 113
경기도 포천시 군내면 구읍리,포천금호어울림센트럴,84.8988,12,"37,300",13,2023,용정경제로 159
경상남도 창원시마산회원구 석전동,창원메트로시티석전,59.6825,12,"37,300",17,2019,석전남8길 40
인천광역시 연수구 동춘동,건영,84.945,12,"35,000",3,1994,먼우금로83번길 12
광주광역시 북구 중흥동,제일풍경채센트럴파크1단지,84.92,12,"60,000",13,2022,우치로40번길 25
대구광역시 달서구 상인동,"상인동화,태왕,한양타운",84.99,12,"30,000",9,1993,상인서로 94
경기도 양평군 용문면 다문리,용문역반도유보라아이비파크,59.996,12,"28,500",17,2023,두담길 10
대구광역시 달서구 용산동,용산롯데캐슬,78.58,12,"40,000",17,2004,장산남로 33
충청북도 제천시 봉양읍 미당리,미당한마음,59.545,12,"7,000",3,2004,용두대로36길 5-12
충청북도 청주서원구 분평동,분평1단지뜨란채,49.24,12,"12,700",17,2000,월평로 25
충청남도 당진시 송악읍 반촌리,동진,39.9,12,"5,000",8,1995,반촌로 267
충청북도 청주서원구 산남동,계룡리슈빌,106.0239,12,"41,000",9,2007,산남로 23
부산광역시 사상구 주례동,엘지신주례1,59.97,12,"15,000",21,1996,백양대로342번길 16
충청북도 증평군 증평읍 장동리,대성베르힐리오파크,77.7942,12,"22,500",10,2015,북부두름길 80
충청북도 증평군 도안면 화성리,해누리,59.93,12,"4,500",2,1994,화성로 79
부산광역시 사상구 덕포동,사상중흥에스-클래스그랜드센트럴,79.8564,12,"51,000",3,2023,사상로 300
충청북도 진천군 진천읍 장관리,진천장관사랑으로부영2차,59.9605,12,"14,500",9,2013,진광로 97-13
인천광역시 미추홀구 도화동,도화역금강펜테리움센트럴파크,59.5,12,"34,450",21,2020,송림로257번길 6
충청북도 진천군 덕산읍 두촌리,모아엘가더테라스,84.9134,12,"30,000",13,2018,대월로 127
광주광역시 북구 각화동,글로벌,134.25,12,"37,000",17,2003,월동로 88
부산광역시 수영구 남천동,삼익비치,60.83,12,"52,000",2,1979,광안해변로 100
부산광역시 수영구 민락동,센텀비스타동원,109.1877,12,"101,500",23,2017,수영로 754
충청북도 음성군 음성읍 읍내리,시티빌아파트201동,73.6576,12,"15,000",8,2015,중앙로40번길 13
부산광역시 연제구 연산동,시청역비스타동원,84.978,12,"60,000",21,2019,연제로 30
인천광역시 부평구 부평동,부평역화성파크드림,59.93,12,"50,500",9,2020,동수로 80
인천광역시 부평구 부평동,부평역화성파크드림,84.8184,12,"63,500",20,2020,동수로 80
대구광역시 수성구 노변동,수성알파시티청아람,84.952,12,"62,300",9,2021,알파시티2로 96
충청남도 천안시서북구 성환읍 매주리,부영,84.9643,12,"17,700",7,2005,천안대로 1853
경상남도 창원시마산합포구 현동,엘에이치그린품애,59.96,12,"16,500",11,2015,묘촌1길 28
경상남도 창원시마산합포구 월영동,마린애시앙부영,149.4602,12,"56,000",25,2019,가포순환로 33
경상남도 창원시마산합포구 월영동,마린애시앙부영,84.9883,12,"37,400",15,2019,가포순환로 33
경상남도 창원시마산합포구 산호동,창원칸타빌오션뷰,63.8376,12,"27,000",27,2021,합포동6길 8
광주광역시 북구 용두동,우방아이유쉘아파트,59.8814,12,"26,200",15,2018,하서로423번길 42
광주광역시 광산구 송정동,신한화,59.88,12,"12,000",8,1997,내상로 80
경상남도 창원시마산합포구 교방동,창원롯데캐슬프리미어,84.9485,12,"41,700",6,2020,노산서18길 80
광주광역시 광산구 도산동,우미,60,12,"11,700",9,1997,도산로 26
부산광역시 강서구 명지동,더힐시그니처,135.8022,12,"80,000",5,2019,명지국제7로 110
충청남도 아산시 배방읍 공수리,아산한도,59.4,12,"13,500",18,1997,모산로126번길 17-26
인천광역시 중구 중산동,하늘도시우미린2단지,84.9907,12,"38,700",17,2012,하늘달빛로 113
인천광역시 중구 중산동,하늘도시우미린1단지,59.9,12,"27,700",5,2012,은하수로 351
인천광역시 중구 중산동,영종국제도시화성파크드림,84.7363,12,"47,500",23,2019,하늘별빛로 112
충청남도 아산시 탕정면 명암리,탕정삼성트라팰리스(1단지~3단지),84.73,12,"35,000",32,2009,탕정면로 37
충청남도 아산시 탕정면 명암리,탕정삼성트라팰리스(1단지~3단지),108.86,12,"57,237",20,2009,탕정면로 37
경상북도 포항시북구 두호동,두호SK뷰푸르지오1단지,74.99,12,"35,500",7,2020,두호로 66
경상북도 포항시북구 두호동,제일우성2,28.08,12,"5,400",4,1996,삼흥로62번길 27-7
경상북도 포항시북구 창포동,두호주공2,46.68,12,"9,000",3,1988,창흥로 67
충청남도 아산시 탕정면 매곡리,한들물빛도시시티프라디움,84.9774,12,"58,000",20,2021,한들물빛3로 36
충청남도 아산시 탕정면 매곡리,한들물빛도시신영지웰시티센트럴푸르지오1단지,68.7765,12,"57,000",11,2022,한들물빛도시로 69
경상북도 포항시북구 용흥동,용흥교우주택,49.2,12,"4,800",1,1988,용흥로37번길 2
부산광역시 금정구 구서동,태진팰리스,68.17,12,"38,000",11,2018,수림로50번길 176
충청북도 청주시청원구 주성동,대원칸타빌1차아파트,84.43,12,"43,150",19,2013,율량로 103
충청북도 청주시청원구 사천동,대창1차,59.472,12,"13,800",14,1998,사뜸로61번길 106
광주광역시 광산구 신가동,한양수자인,84.6075,12,"45,500",6,2009,수등로123번길 75
인천광역시 중구 운남동,영종국제도시화성파크드림2차,73.6293,12,"36,500",5,2022,은하수로 436
충청남도 아산시 신창면 남성리,아산신창장미,39.67,12,"3,600",4,1994,서부북로 933-30
충청북도 청주시청원구 사천동,남광하우스토리A단지,84.5499,12,"33,500",8,2011,율봉로 7
부산광역시 사하구 다대동,다송,41.27,12,"4,950",4,1995,다대로381번길 99
충청북도 청주시청원구 우암동,우암동삼일브리제하임,59.9751,12,"26,800",13,2016,향군로 123
대구광역시 수성구 신매동,신매아이프라임,84.9914,12,"43,000",7,2008,달구벌대로649길 14
충청남도 계룡시 두마면 농소리,계룡대실LH리슈빌,59.71,12,"23,000",20,2021,농소로 64
충청남도 천안시동남구 신방동,신방한라비발디,117.5041,12,"33,800",9,2009,통정9로 75
충청남도 천안시동남구 신방동,성지새말2,59.97,12,"15,000",6,1997,일봉로 20
인천광역시 남동구 구월동,구월힐스테이트1단지,83.8726,12,"47,500",16,2007,구월로 192
세종특별자치시  보람동,호려울마을9단지(한양수자인와이즈시티),84.8974,12,"52,000",2,2016,남세종로 384
충청남도 홍성군 홍성읍 남장리,주공아파트1차,59.64,12,"13,000",4,2001,문화로72번길 92
부산광역시 사하구 장림동,장림협진태양,83.37,12,"9,600",2,1989,두송로 32
충청남도 천안시동남구 청수동,극동1차,84.63,12,"14,800",15,1992,청수로 99
부산광역시 사하구 장림동,장림윌더하임,70.838,12,"17,300",17,2005,장평로 119
충청남도 천안시동남구 구성동,신성천안미소지움,84.488,12,"20,000",14,2006,천안대로 483-8
충청남도 홍성군 홍북읍 신경리,한울마을모아엘가아파트,84.9867,12,"25,000",19,2016,홍학로 88
충청남도 홍성군 홍북읍 신경리,한울마을모아엘가아파트,84.9867,12,"25,000",9,2016,홍학로 88
충청남도 예산군 예산읍 예산리,평화1차,84.69,12,"9,500",11,1992,예산로 110
충청남도 예산군 예산읍 산성리,서오2차,71.56,12,"8,700",7,1992,역전로 150-13
부산광역시 사하구 신평동,신익강변타운,71.4,12,"17,000",5,1992,하신중앙로 180
경기도 용인시처인구 고림동,인정빌리지1,59.93,12,"16,800",5,2000,한터로152번길 45
경기도 용인시처인구 유방동,용인보평역서희스타힐스리버파크,59.9806,12,"39,000",5,2024,한터로 55-30
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,84.021,12,"31,700",5,2016,세천로 187
인천광역시 부평구 산곡동,삼도,49.38,12,"40,310",3,1988,산청로 31
부산광역시 사하구 당리동,벽산으뜸,61.85,12,"10,800",2,1992,다대로22번길 30
대전광역시 동구 용운동,용운주공2단지,32.39,12,"6,800",6,1987,백룡로 138
전북특별자치도 전주시완산구 삼천동1가,우성삼천2차,58.4,12,"13,900",12,1998,삼천천변2길 51
전북특별자치도 전주시완산구 삼천동1가,우성,101.615,12,"19,500",9,1993,백제대로 13
전북특별자치도 전주시완산구 삼천동1가,삼천남양,59.9625,12,"12,500",1,1998,삼천천변1길 32
부산광역시 해운대구 좌동,삼성,59.944,12,"35,000",12,1997,세실로 174
대전광역시 동구 가양동,고운하이플러스,53.895,12,"26,950",14,2023,동서대로1754번길 60
대전광역시 동구 가양동,큰솔3차,25.3237,12,"4,700",8,2002,충정로18번길 60
충청남도 천안시서북구 쌍용동,월봉일성5,59.99,12,"17,700",6,1999,월봉4로 120-16
대전광역시 중구 선화동,선호,30.3394,12,"6,250",9,2001,대종로 583
전라남도 화순군 화순읍 광덕리,부영2,60,12,"8,400",9,1995,광덕로 155
대전광역시 중구 오류동,삼성,84.24,12,"39,000",5,1989,계룡로 852
대전광역시 중구 태평동,태평,114.74,12,"33,000",13,2000,평촌로 111
대전광역시 중구 태평동,쌍용예가,84.9646,12,"44,000",1,2008,평촌로 93
전북특별자치도 전주시완산구 평화동2가,평화동엠코타운,59.9755,12,"22,500",12,2013,양지3길 25
충청남도 천안시서북구 두정동,우성,84.855,12,"16,000",7,1996,두정고7길 36
충청남도 천안시서북구 두정동,대우그린,84.95,12,"21,800",16,1996,봉정로 365
전라남도 영암군 삼호읍 용당리,희망가,59.9991,12,"9,500",12,2012,모밀항길 39-18
대전광역시 중구 태평동,파라곤,84.236,12,"36,500",2,2005,유등천동로 428
전라남도 무안군 무안읍 교촌리,석호가람휘,112.4516,12,"17,000",4,2004,창포로 24
대전광역시 서구 내동,맑은아침,84.8879,12,"37,500",5,2004,갈마로 262
부산광역시 북구 구포동,리버파크반도유보라,59.7277,12,"38,300",14,2021,백양대로 1136
대전광역시 서구 둔산동,수정타운,71.52,12,"30,100",5,1993,청사로 282
대전광역시 서구 둔산동,나이스진,38.56,12,"7,750",10,2003,대덕대로175번길 50
전라남도 무안군 삼향읍 남악리,근화베아채,59.9368,12,"17,000",8,2008,남악4로82번길 31
전라남도 무안군 삼향읍 남악리,근화베아채스위트,84.7575,12,"28,500",10,2013,남악5로22번길 20
대전광역시 서구 월평동,전원,84.94,12,"34,000",4,1994,월평중로 50
전라남도 영광군 영광읍 도동리,해룡,74.66,12,"6,100",3,1989,중앙로2길 9-18
전북특별자치도 김제시 신풍동,김제신풍주공아파트,39.6,12,"5,000",2,1992,금성로 102
전북특별자치도 남원시 도통동,부영5차,84.9538,12,"18,000",6,2001,오들1길 26
부산광역시 북구 만덕동,벽산라인타운,74.6,12,"21,000",23,1998,덕천로 182
경상북도 포항시남구 구룡포읍 구룡포리,"신명그린(가,나)",59.17,12,"4,000",4,1991,구룡포길57번길 57
대전광역시 서구 도안동,트리풀시티레이크포레,84.9389,12,"74,000",12,2021,도안동로 234
대전광역시 서구 관저동,원앙마을2,59.47,12,"18,500",16,1997,관저북로 80
경상북도 포항시남구 대송면 제내리,개나리,35.91,12,"1,500",1,1987,제내길36번길 5-6
전북특별자치도 익산시 어양동,어양센트럴파크,49.2824,12,"18,500",23,2020,하나로 337
경상북도 포항시남구 동해면 약전리,도구하야로비타운,59.95,12,"4,400",3,1992,일월로155번길 13
부산광역시 북구 화명동,롯데낙천대,84.769,12,"49,700",9,2002,화명신도시로 156
부산광역시 북구 화명동,대우이안,84.9848,12,"46,900",6,2002,화명신도시로 145
경상북도 경주시 외동읍 입실리,남정로얄맨션,73.305,12,"6,400",3,1993,순금1길 11
부산광역시 북구 화명동,화명롯데캐슬카이저,171.77,12,"110,000",13,2012,금곡대로 166
전북특별자치도 익산시 모현동1가,현대(3),59.8,12,"14,500",14,1996,배산로 91-9
전북특별자치도 전주시완산구 서신동,서신아이파크이편한세상,84.9881,12,"49,500",2,2020,전주천서로 445
경상북도 경주시 현곡면 하구리,경주센트럴푸르지오,84.7943,12,"31,500",5,2019,용담로 548
전북특별자치도 익산시 동산동,수도산광신프로그레스아파트,84.8865,12,"28,000",4,2022,동천로1길 20
전북특별자치도 익산시 동산동,제일(고층),84.79,12,"11,000",1,1992,서동로18길 46-1
경상북도 안동시 서후면 명리,학산아파트,38.1401,12,"5,800",6,2005,명리두솔원길 5-8
전북특별자치도 익산시 동산동,동신,46.14,12,"5,000",1,1988,목천로 336
대전광역시 유성구 봉명동,도안6단지 센트럴시티,74.9,12,"53,300",8,2010,봉명로 93
대전광역시 유성구 봉명동,앤터팰리스1차,25.3661,12,"9,800",12,2019,대학로 39-10
전북특별자치도 군산시 소룡동,성원상떼빌,84.9506,12,"8,000",4,2004,해망로 447
대전광역시 유성구 상대동,한라비발디,124.933,12,"89,000",12,2011,상대로 17
대전광역시 유성구 상대동,트리풀시티(5단지),84.89,12,"66,000",21,2014,상대로 16
전북특별자치도 군산시 나운동,나운세경아파트,40.32,12,"4,300",11,2002,하나운로 28
부산광역시 남구 용호동,엘지메트로시티4-1(201-214),85,12,"47,300",2,2003,분포로 113
부산광역시 남구 용호동,대광타워맨션,84.93,12,"17,500",22,1995,이기대공원로26번길 45-3
인천광역시 부평구 부개동,부평코오롱하늘채,72.9227,12,"61,000",4,2020,동수천로 117
경상북도 구미시 산동읍 신당리,우미린센트럴파크,59.9527,12,"23,300",12,2017,신당3로 16
경상북도 구미시 산동읍 신당리,우미린센트럴파크,59.9527,12,"21,500",12,2017,신당3로 16
부산광역시 남구 대연동,대연자이,84.9768,12,"77,500",13,2019,유엔로 246
경상북도 경산시 하양읍 금락리,개나리,65.27,12,"7,800",2,1987,아낙고개길 21
대전광역시 유성구 송강동,한마을,84.88,12,"29,800",9,1999,구즉로 16
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,74.04,12,"24,400",16,2016,세천로 187
부산광역시 동래구 명륜동,락우아트빌,84.59,12,"19,500",3,2002,삼성대길 6
경상북도 경산시 진량읍 북리,경산4차삼주봉황타운,59.62,12,"6,800",16,1998,봉황길 72
대전광역시 대덕구 신탄진동,대전동일스위트리버스카이1단지,77.0917,12,"39,800",32,2021,대청로 43
울산광역시 중구 성안동,웨일즈빌라트4,84.9603,12,"16,300",8,2003,함월로 25
경상북도 영덕군 강구면 강구리,푸른바다타운,82.14,12,"16,000",4,2014,영덕대게로 35
울산광역시 중구 유곡동,울산유곡푸르지오,84.9761,12,"55,200",18,2010,평동3길 1
경상북도 칠곡군 왜관읍 왜관리,주공,45.12,12,"4,000",4,1986,평장2길 14
경기도 고양시일산서구 탄현동,탄현마을풍림,59.859,12,"24,800",1,2000,현중로 10
울산광역시 중구 반구동,e편한세상강변,84.9634,12,"52,500",12,2015,반구로 55
울산광역시 남구 무거동,울산옥현1주공,59.89,12,"22,900",12,2000,옥현로 92-13
인천광역시 계양구 효성동,백영,60,12,"16,200",12,1996,길마로11번길 3
전북특별자치도 군산시 장재동,현대세솔,59.978,12,"10,900",6,2002,풍문2길 35
전북특별자치도 군산시 대명동,아이플러스시티102동,49.74,12,"7,150",9,2014,동팔마길 34
강원특별자치도 삼척시 교동,교동코아루,60,12,"8,850",1,2005,교동로 133
강원특별자치도 속초시 조양동,ES아뜨리움,79.4635,12,"29,800",6,2017,조양로 40
부산광역시 기장군 기장읍 동부리,이진스카이빌,84.96,12,"25,700",17,2004,차성서로 158-12
경상남도 통영시 용남면 장평리,덕진왈츠2차,59.7022,12,"14,800",7,2017,견내량로 91
부산광역시 부산진구 연지동,유림노르웨이숲,84.8034,12,"27,000",1,2006,성지로62번길 8
강원특별자치도 속초시 금호동,속초e-편한세상,84.975,12,"29,000",2,2006,미시령로 3439
경상남도 통영시 광도면 죽림리,주영더팰리스5차,84.966,12,"30,900",5,2018,죽림5로 56
부산광역시 부산진구 범천동,서면유림노르웨이숲,84.9711,12,"36,000",14,2014,신천대로 71
강원특별자치도 속초시 동명동,속초롯데캐슬인더스카이,79.94,12,"37,400",8,2023,수복로 235
강원특별자치도 태백시 황지동,중앙하이츠,70.48,12,"15,000",6,2011,대학길 80
강원특별자치도 태백시 황지동,주공,38.57,12,"3,800",3,1983,감천로 7
대구광역시 수성구 범어동,범어에일린의뜰,84.941,12,"90,000",4,2021,청솔로14길 15
강원특별자치도 동해시 이도동,동해이도코아루더스카이,84.9416,12,"28,000",2,2019,동해대로 4833
전북특별자치도 전주시완산구 동서학동,대아산성,59.82,12,"6,400",7,1992,남고산성1길 37
경상남도 김해시 진영읍 진영리,김해진영코아루,121.0641,12,"33,500",20,2007,김해대로361번길 34
대구광역시 수성구 범어동,범어라온프라이빗,84.9704,12,"75,000",2,2016,동대구로55길 11
강원특별자치도 강릉시 입암동,이안강릉타운,84.7,12,"25,500",2,2006,성덕로 316-22
강원특별자치도 강릉시 입암동,이안강릉타운,84.7,12,"29,800",3,2006,성덕로 316-22
강원특별자치도 강릉시 회산동,힐스테이트강릉,74.9974,12,"31,500",3,2018,회산로383번길 37
부산광역시 부산진구 양정동,굿모닝뷰,73.04,12,"25,000",14,2016,거제대로60번길 24
울산광역시 남구 삼산동,세양청구마을,59.98,12,"23,400",8,1997,돋질로401번길 12
울산광역시 남구 삼산동,세양청구마을,59.98,12,"21,500",8,1997,돋질로401번길 12
경상남도 양산시 물금읍 가촌리,양산대방노블랜드7차메가시티,59.9914,12,"33,000",15,2017,새실로 11
강원특별자치도 강릉시 교동,강릉교동풍림아이원아파트,84.9964,12,"35,750",8,2017,화부산로40번길 29
울산광역시 울주군 온양읍 대안리,남창럭키,52.56,12,"9,600",10,1991,온양로 86
전북특별자치도 전주시완산구 태평동,전주태평SKVIEW,122.341,12,"53,000",17,2009,태평2길 22
경상남도 양산시 물금읍 범어리,반도유보라4차,84.9403,12,"39,000",4,2014,백호로 91
인천광역시 계양구 병방동,학마을한진,59.73,12,"24,000",4,1998,용종로 124
인천광역시 계양구 병방동,학마을한진,49.77,12,"21,000",10,1998,용종로 124
강원특별자치도 원주시 반곡동,반곡벽산2차아파트,125.194,12,"31,500",9,2008,반곡길 45
부산광역시 영도구 동삼동,동삼동삼창그린타운(679-1),59.625,12,"12,100",11,1996,태종로700번길 19
울산광역시 울주군 범서읍 천상리,문수애시앙1단지,84.78,12,"42,000",15,2014,대동길 21
강원특별자치도 원주시 무실동,원주시무실세영리첼2차,84.9616,12,"39,000",7,2015,무실로 415
강원특별자치도 원주시 무실동,무실우미린,84.9109,12,"40,000",10,2014,무실로 455
부산광역시 동구 수정동,태안하버빌,82.93,12,"20,000",8,2004,홍곡로 73
강원특별자치도 원주시 행구동,건영,167.73,12,"26,500",9,1996,행구로 287
울산광역시 동구 전하동,울산전하푸르지오1단지,84.8283,12,"39,000",23,2011,봉수로 250
경기도 화성시 목동,동탄금강펜테리움센트럴파크Ⅳ,74.8709,12,"52,500",12,2018,동탄순환대로20길 45
울산광역시 울주군 범서읍 굴화리,문수산푸르지오,84.787,12,"48,500",23,2014,장검길 48
강원특별자치도 원주시 명륜동,더샵원주센트럴파크2단지,84.9836,12,"45,000",12,2021,서원대로 290
울산광역시 북구 매곡동,드림인시티에일린의뜰1차,84.9044,12,"42,000",5,2017,호계매곡1로 31
강원특별자치도 춘천시 석사동,석사근로복지,47.32,12,"12,000",1,1991,효석로67번길 23
경기도 수원시권선구 고색동,태산1,84.765,12,"37,900",11,1997,매송고색로673번길 11
강원특별자치도 원주시 지정면 가곡리,호반베르디움더리버,95.7086,12,"37,000",5,2019,신지정로 265
인천광역시 서구 경서동,인천경서아시아드대광로제비앙,84.0741,12,"41,500",2,2017,모월곶로 41
강원특별자치도 춘천시 퇴계동,이편한세상춘천한숲시티,59.8597,12,"39,000",6,2019,안마산로 133
울산광역시 북구 상안동,쌍용아진그린타운2,59.952,12,"10,700",6,1996,아진로 75
강원특별자치도 홍천군 홍천읍 갈마곡리,신성미소지음,84.8467,12,"26,200",5,2007,갈마로8길 15
강원특별자치도 홍천군 홍천읍 연봉리,청솔,59.81,12,"10,600",12,2000,연봉서로 46
서울특별시 강동구 길동,예다움,65.87,12,"57,500",9,2004,천중로49길 11
서울특별시 강동구 길동,다성이즈빌(349-1),16.88,12,"13,500",8,2012,천중로 200
울산광역시 울주군 범서읍 구영리,호반베르디움,71.0548,12,"29,200",11,2007,대리로 15-12
울산광역시 북구 산하동,울산블루마시티2차푸르지오,59.7799,12,"22,000",23,2015,강동산하2로 43
울산광역시 북구 산하동,울산블루마시티2차푸르지오,84.9955,12,"30,000",16,2015,강동산하2로 43
강원특별자치도 춘천시 후평동,세경1,51.62,12,"9,500",3,1984,백령로 202
강원특별자치도 춘천시 후평동,동산,31.42,12,"6,550",4,1990,후석로441번길 7
인천광역시 서구 가정동,루원시티SKLeaders'VIEW,84.8254,12,"73,500",30,2022,가정로 437
서울특별시 강동구 명일동,래미안솔베뉴,49.68,12,"110,000",20,2019,양재대로 1650
인천광역시 서구 신현동,동진,51.39,12,"15,000",5,1989,새오개로77번길 5
울산광역시 북구 송정동,울산송정한양수자인,84.9843,12,"54,000",15,2019,박상진3로 25
서울특별시 송파구 거여동,e편한세상송파파크센트럴,59.96,12,"124,000",9,2021,오금로 551
경기도 화성시 장지동,동탄2신도시호반베르디움33단지,76.4781,12,"48,000",9,2018,동탄대로4다길 78
강원특별자치도 인제군 인제읍 합강리,인제양우내안애아파트,84.7512,12,"30,000",8,2020,인제로 258
강원특별자치도 춘천시 효자동,동보,37.2,12,"7,300",1,1999,공지로200번길 13
제주특별자치도 제주시 일도이동,인화에코비치,27.02,12,"7,200",10,2012,고마로 40
울산광역시 울주군 삼남읍 가천리,대원그린파크,59.54,12,"4,300",1,1993,1
경상남도 양산시 소주동,천성리버타운,49.8,12,"6,900",10,1998,소주회야로 75
경기도 광명시 일직동,유-플래닛태영데시앙,84.87,12,"124,500",46,2019,양지로 7
전북특별자치도 완주군 봉동읍 제내리,제일오투그란데,59.969,12,"11,000",10,2017,봉비로 176
경기도 평택시 칠원동,평택지제역동문굿모닝힐맘시티1단지,59.9845,12,"29,300",24,2019,신촌1로 9
전북특별자치도 완주군 봉동읍 장기리,봉동2차명진로얄아파트,76.95,12,"7,000",4,1993,봉동동서로 76
경상남도 양산시 중부동,현대1,84.88,12,"24,500",15,1999,양주로 114
전북특별자치도 무주군 무주읍 당산리,리버O2,47.493,12,"12,200",4,2016,당산강변로 236
경상남도 거제시 상동동,거제더샵블루시티,84.96,12,"21,800",23,2017,상동5길 100
대구광역시 달서구 월성동,서한맨션,84.81,12,"22,500",15,1992,학산로 15
경기도 평택시 팽성읍 송화리,송화지구우미이노스빌,84.5344,12,"24,000",13,2005,팽성송화로 154
세종특별자치시  고운동,가락마을 20단지(호반베르디움5차),84.9895,12,"42,000",9,2015,만남로 190
전북특별자치도 부안군 부안읍 봉덕리,봉덕주공,39.74,12,"6,700",2,1998,학동길 4
경상남도 거제시 옥포동,e편한세상옥포아파트1단지,84.97,12,"24,000",24,2016,성산로 33
경상남도 거제시 아주동,거제아주KCC스위첸,59.9109,12,"16,500",19,2017,용소1길 17-10
서울특별시 서초구 서초동,비버리캐슬,49.09,12,"100,000",8,2020,반포대로9길 70
세종특별자치시  조치원읍 죽림리,조치원죽림자이,84.6641,12,"32,000",9,2008,도원로 16
세종특별자치시  조치원읍 죽림리,조치원죽림자이,84.6641,12,"25,000",2,2008,도원로 16
인천광역시 서구 석남동,금호어울림,84.8003,12,"38,250",8,2007,가정로223번길 28
대구광역시 달서구 월성동,월성푸르지오,84.9232,12,"44,800",17,2008,조암로6길 20
경상남도 밀양시 삼문동,세광맨션,129.06,12,"15,000",14,1993,삼문2길 3
경상남도 밀양시 교동,밀양우신그린피아,59.81,12,"8,000",11,1997,교동로 76
세종특별자치시  도담동,도램마을10단지 호반 어반시티,84.8928,12,"65,000",16,2014,보듬4로 20
전북특별자치도 전주시덕진구 장동,호반베르디움더클래스,102.5648,12,"54,000",5,2014,출판로 87
경기도 구리시 토평동,한일,59.784,12,"75,000",16,2001,장자대로111번길 11
경상남도 김해시 대청동,갑오마을9단지푸르지오,121.012,12,"36,000",15,2005,반룡로 65
인천광역시 서구 석남동,낙원,44.16,12,"10,900",2,1989,서달로149번길 12-7
충청북도 청주시흥덕구 옥산면 가락리,청주리버파크자이,84.963,12,"33,000",10,2019,오송가락로 1056
경기도 남양주시 호평동,호평마을신명스카이뷰하트,84.9985,12,"49,000",13,2006,늘을2로 90-36
경기도 남양주시 호평동,호평현대아이파크아파트,84.9865,12,"39,000",1,2004,늘을3로 7
서울특별시 관악구 봉천동,봉천동아,59.76,12,"66,000",3,2000,관악로 285
경기도 용인시처인구 남사읍 아곡리,e편한세상용인한숲시티5단지,84.826,12,"42,000",4,2018,한숲로 83
경기도 남양주시 별내동,대원칸타빌,132.57,12,"85,000",3,2012,순화궁로 384
경기도 남양주시 별내동,포스코더샵,128.2866,12,"87,000",15,2012,별내3로 115
경상남도 김해시 구산동,일동미라주,59.887,12,"20,700",10,2013,김해대로1902번길 30
경상남도 사천시 벌리동,로얄맨션,55.18,12,"4,500",3,1993,벌리3길 62
경기도 오산시 지곶동,e편한세상오산세교,84.9828,12,"37,200",25,2018,세마문학로 50
경상남도 진주시 충무공동,혁신도시엘에이치아파트8단지,59.97,12,"30,500",19,2015,사들로 35
경상남도 창원시의창구 북면 감계리,창원감계푸르지오,72.8583,12,"25,950",15,2017,감계로 221
경상남도 창원시의창구 북면 감계리,창원감계푸르지오,72.8583,12,"25,950",15,2017,감계로 221
경상남도 진주시 충무공동,진주혁신도시센텀리버파크,75.97,12,"37,000",10,2013,사들로 157
대구광역시 북구 동천동,보성서한타운,42.68,12,"10,200",4,1995,팔거천동로 104
경기도 오산시 청호동,오산자이,84.0525,12,"29,000",13,2007,동부대로 332-14
경상북도 포항시북구 흥해읍 옥성리,대우황실맨션,81.98,12,"7,600",1,1992,흥해로81번길 27
경기도 오산시 갈곶동,힐스테이트오산더퍼스트,59.9944,12,"35,700",4,2024,경기대로 24-27
경상북도 포항시북구 흥해읍 초곡리,초곡삼구트리니엔시티,84.9753,12,"25,400",3,2018,초곡지구로58번길 52
경상북도 포항시북구 흥해읍 학천리,삼도뷰엔빌,74.7442,12,"14,800",14,2008,도음로877번길 15
경상남도 진주시 가좌동,센트렐웰가,84.8133,12,"50,000",16,2018,진주역로73번길 33
경기도 시흥시 대야동,대야역두산위브더파크,59.8421,12,"49,500",3,2021,서해안로 1645
경기도 시흥시 대야동,대야역두산위브더파크,59.8145,12,"50,300",8,2021,서해안로 1645
광주광역시 북구 본촌동,힐스테이트본촌,84.9976,12,"46,450",16,2019,본촌마을길 157-22
경상남도 진주시 이현동,이현하이클래스웰가,110.1,12,"35,600",18,2008,진주대로 1317
경기도 시흥시 대야동,서강2,59.98,12,"31,900",12,1997,은행로 232
경기도 시흥시 신천동,뉴월드,84.96,12,"30,000",13,1997,신천로25번길 1-1
경기도 평택시 청북읍 옥길리,부영사랑으로1단지,59.9605,12,"16,700",12,2011,12
경상남도 창원시마산회원구 내서읍 호계리,코오롱하늘채1차아파트,59.946,12,"16,100",5,2001,호원로 361-3
경상남도 창원시마산회원구 내서읍 호계리,코오롱하늘채2차,84.998,12,"27,000",22,2005,호원로 359
경상남도 창원시마산회원구 내서읍 상곡리,중리근로복지,41.85,12,"5,800",10,1993,상곡로 67
대구광역시 달성군 다사읍 세천리,다사세천한라비발디,84.021,12,"31,700",5,2016,세천로 187
경기도 시흥시 장현동,제일풍경채에듀,75.1125,12,"53,000",15,2020,장현순환로 111
서울특별시 동작구 상도동,삼성래미안2,59.886,12,"90,000",10,2003,상도로55길 47
서울특별시 동작구 상도동,e편한세상상도노빌리티,84.9704,12,"156,000",20,2018,만양로 6
경기도 평택시 고덕면 궁리,고덕하늘채시그니처,59.949,12,"29,200",9,2021,효덕새싹길 55
