Unnamed: 0,번호,제목,저자,출판사,출판일
,11,AI&#x0027;s Real Worst-Case Scenarios: Who needs Terminators when you have precision clickbait and ultra-deepfakes?,"Bajema, Natasha; Smith, Craig S.; Garisto, Dan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,12,AIS: Identification system in the US gets good take-up,unknown,ARGUS BUSINESS MEDIA,2005
,13,AI-enabled digital identity – inputs for stakeholders and policymakers,"Mir, Umar; Kar, Arpan Kumar; Gupta, Manmohan Prasad",Emerald,2021
,14,AI-Empowered Content Caching in Vehicular Edge Computing: Opportunities and Challenges,"Javed, Muhammad Awais; Zeadally, Sherali",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,15,AI-Based Network-Aware Service Function Chain Migration in 5G and Beyond Networks,"Addad, Rami Akrem; Dutra, Diego Leonel Cadette; Taleb, Tarik; Flinck, Hannu",IEEE,2022
,16,AI-derived adipose tissue biomarker for risk prediction using CCTA,"Huynh, K.",unknown,2019
,17,AI-IDS: Application of Deep Learning to Real-Time Web Intrusion Detection,"Kim, Aechan; Park, Mohyun; Lee, Dong Hoon",IEEE,2020
,18,AISÉIRÍ FHIANNA FÁIL?,"De BrÉAdÚN, DeaglÁN",Comhar Teoranta,2013
,19,AI/SP: Artificial intelligence and signal processing,unknown,North-Holland Pub. Co,1991
,20,AI-Enabled Reliable Channel Modeling Architecture for Fog Computing Vehicular Networks,"Sodhro, Ali Hassan; Sodhro, Gul Hassan; Guizani, Mohsen; Pirbhulal, Sandeep; Boukerche, Azzedine",IEEE,2020
,21,Aiséirí Teanga: Gaelg Vannin agus Kernewek,"Nic ShÌM, Natalie",Comhar Teoranta,2011
,22,AI's 10 to Watch,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,23,AI-GAN: Asynchronous interactive generative adversarial network for single image rain removal,"Jin, Xin; Chen, Zhibo; Li, Weiping","Elsevier Science B.V., Amsterdam.",2020
,24,"AISÉIRÍ, ALEX HIJMANS","UÍ Chonghaile, Fionnuala",Comhar Teoranta,2011
,25,AI-Enhanced Cooperative Spectrum Sensing for Non-Orthogonal Multiple Access,"Shi, Zhenjiang; Gao, Wei; Zhang, Shangwei; Liu, Jiajia; Kato, Nei",IEEE,2020
,26,AI&#x2014;A Game Changer or a Solution Looking for a Problem,"Mohanty, Sashikant",IEEE,2020
,27,AI-Based Two-Stage Intrusion Detection for Software Defined IoT Networks,unknown,IEEE,2019
,28,AI-Powered Home Electrical Appliances as Enabler of Demand-Side Flexibility,"Ciabattoni, Lucio; Comodi, Gabriele; Ferracuti, Francesco; Foresi, Gabriele",IEEE,2020
,29,AI-Driven Zero Touch Network and Service Management in 5G and Beyond: Challenges and Research Directions,"Benzaid, Chafika; Taleb, Tarik",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,30,Ai-lncRNA EGOT enhancing autophagy sensitizes paclitaxel cytotoxicity via upregulation of ITPR1 expression by RNA-RNA and RNA-protein interactions in human cancer,"Xu, Shouping; Wang, Peiyuan; Zhang, Jian; Wu, Hao; Sui, Shiyao; Zhang, Jinfeng; Wang, Qin; Qiao, Kun; Yang, Weiwei; Xu, Hongbiao; Pang, Da",Springer Nature,2019
,31,AI-Powered In-Vehicle Passenger Monitoring Using Low-Cost mm-Wave Radar,"Abedi, Hajar; Luo, Shenghang; Mazumdar, Vishvam; Riad, Michael M. Y. R.; Shaker, George",IEEE,2022
,32,AI~2O~3 Ceramics made by CAM-LEM (Computer-Aided Manufacturing of Laminated Engineering Materials) Technology,"Cawley, J. D.;Wei, P.;Liu, Z. E.;Newman, W. S.",University of Texas at Austin,1995
,33,AI/ML-Enabled 2-D - RuS,"Veeralingam, Sushmitha; Khandelwal, Shivam; Badhulika, Sushmee",IEEE,2020
,34,Aiséirí na nÓg in Uganda,"NÍ Dhubha, CaitrÍOna",Comhar Teoranta,2009
,35,"AI: The Good, the Disruptive, and the Scary","Andriole,  Steven",CUTTER CONSORTIUM,2018
,36,AI-CART: An Algorithm to Incrementally Calculate Artificial Potential Fields in Real-Time,"Piaggio, M.;Sgorbissa, A.",IEEE,1999
,37,AI/PET adhesion: role of an excimer laser pretreatment of PET prior to aluminum thermal evaporation,"Petit, S.; Laurens, P.; Barthes-Labrousse, M. G.; Amouroux, J.; Arefi-Khonsari, F.",VSP,2003
,38,AI-Based Technical Approach for Designing Mobile Decision Aids,"Alikhademi, Kiana; Richardson, Brianna; Ross, Kassandra; Sung, Jihyun; Gilbert, Juan E.; Kwon, Wi-Suk; Chattaraman, Veena",Springer,2019
,39,AI-BSF: Bow Investigation and Elimination,"Huster, F.","Munich, Germany:; WIP-Renewable Energies,",2005
,40,AI-supported Quality Function Deployment,"Reich, Y.",Kluwer Academic,1996
,41,Aiséirí,"Nic Aodha, Colette",Comhar Teoranta,2007
,42,AI-Empowered Automatic Evaluation of Sitting-Pivot-Transfer Performance Based on 3D Body Motion Tracking and Ambient Object Recognition Using a Time-Of-Flight Sensor,"Ka, Hyun","Elsevier Science B.V., Amsterdam",2021
,43,AIS- enhanced radar,unknown,NAUTICAL INSTITUTE,2006
,44,Ai: A Tribute and Remembrance,"Jones, P.S.",JOHNS HOPKINS UNIVERSITY PRESS,2010
,45,AI-Based Voice Assistant Systems: Evaluating from the Interaction and Trust Perspectives,"Nasirian,  Farzaneh; Ahmadian,  Mohsen; Lee,  One-Ki","Curran Associates,.",2017
,46,AI+X Micro-Program Fosters Interdisciplinary Skills in China,Fei Wu ; Qinming He ; Chao Wu,Association for Computing Machinery,2021
,47,AI-Driven Development Is Here: Should You Worry?,"Ernst, Neil A.; Bavota, Gabriele; Menzies, Tim",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,48,AI-based quality risk management in omnichannel operations: O2O food dissimilarity,"Wu, Pei-Ju; Chien, Chun-Lin","Elsevier Science B.V., Amsterdam.",2021
,49,Aiséirí,"Ó hÓgáin, Dáithí",Comhar Teoranta,1980
,50,AI20139 RESEARCH ON INNOVATION DIFFUSION AND ABSORPTION DURING INFORMATION SYSTEMS IMPLEMENTATION,"Weichao, L.",New York; ASME Press,2012
,51,AI218 AGV BASED ON ADAPTIVE FUZZY POTENTIAL FIELD APPROACH,"Ling, L.; Yangtao, L.",New York; ASME Press,2012
,52,AI-powered banana diseases and pest detection,"Selvaraj, Michael Gomez; Vergara, Alejandro; Ruiz, Henry; Safari, Nancy; Elayabalan, Sivalingam; Ocimati, Walter; Blomme, Guy",Springer Nature,2019
,53,AI225 THE APPLICATION OF MODIFIED BP ARTIFICIAL NEURAL NETWORK IN INITIAL PUBLIC OFFERING PRICING,"Wang, Y.; Zhao, C.",New York; ASME Press,2012
,54,AI20095 EFFICIENCY EVALUATION OF REGIONAL TECHNOLOGY INNOVATION BY USING DEA ANALYSIS,"Xiao, X.; Yang, L.",New York; ASME Press,2012
,55,AI: Just How Scattered Is the Literature?,W. J. Mills,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1987
,56,AIS/VDR: A review of the latest trends in equipment and approvals,unknown,ARGUS BUSINESS MEDIA,2003
,57,AI-BASED SOFTWARE TOOLS FOR BEER BREWING MONITORING AND CONTROL,"Vassileva, S.; Mileva, S.",DIAGNOSIS PRESS,2010
,58,AI-GUIDED QUANTITATIVE CT: MORE ACCURATE THAN STRESS PERFUSION IMAGING FOR OBSTRUCTIVE CAD? CREDENCE SUB-ANALYSIS,"Lipkin, Isabella; Telluri, Anha; Kim, Yumin; Sidahmed, Alfateh; Krepp, Joseph Michael; Choi, Brian G.; Earls, James P.; Choi, Andrew D.","Elsevier Science B.V., Amsterdam",2022
,59,AI: Opportunities and Challenges,unknown,BEIJING REVIEW,2018
,60,AI-based Strategies to Reduce Workload in Breast Cancer Screening with Mammography and Tomosynthesis: A Retrospective Evaluation,"Raya-Povedano, José Luis; Romero-Martín, Sara; Elías-Cabot, Esperanza; Gubern-Mérida, Albert; Rodríguez-Ruiz, Alejandro; Álvarez-Benito, Marina",RADIOLOGICAL SOCIETY OF NORTH AMERICA,2021
,61,AI-Based Integrated Scheduling of Production and Transportation Operations within Military Supply Chains,"Tsadikovich, D.; Levner, E.; Tell, H.",SPRINGER-VERLAG,2010
,62,AI-A multiple book review,"Furbach, U.","Elsevier Science B.V., Amsterdam.",2003
,63,AI-based enviro-economic optimization of solar-coupled and standalone geothermal systems for heating and cooling,"Hemmatabady, Hoofar; Welsch, Bastian; Formhals, Julian; Sass, Ingo","Elsevier Science B.V., Amsterdam.",2022
,64,Aiséirí na hEite Clé,"Mac Cába, Anton",Comhar Teoranta,2003
,65,AI-Research and the Future of the Automobil,"Rojas, R.",SPRINGER-VERLAG,2013
,66,AI's 10 to Watch Call for Nominations,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,67,AI'S KILLER APP? DUH  MARKETING,"Lyons, Dan",Time Inc.,2017
,68,AI-based vision system for collision detection in HRC applications,"Makris, Sotiris; Aivaliotis, Panagiotis","Elsevier Science B.V., Amsterdam",2022
,69,AI-2-mediated signalling in bacteria,"Pereira, C. S.; Thompson, J. A.; Xavier, K. B.",Blackwell Publishing Ltd.,2013
,70,AI-Enabled Fingerprinting and Crowdsource-Based Vehicle Localization for Resilient and Safe Transportation Systems,"Shit, Rathin Chandra; Sharma, Suraj; Yelamarthi, Kumar; Puthal, Deepak",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2021
,71,AI-Driven Security Solutions for the Internet of Everything,"Puthal, Deepak; Mishra, Amit; Sharma, Suraj",IEEE,2021
,72,AI-Assisted Service Virtualization and Flow Management Framework for 6G-Enabled Cloud-Software-Defined Network-Based IoT,"Manogaran, Gunasekaran; Baabdullah, Tahani; Rawat, Danda B.; Shakeel, P. Mohamed",IEEE,2021
,73,AI-based applications in hybrid imaging: how to build smart and truly multi-parametric decision models for radiomics,"Castiglioni, Isabella; Gallivanone, Francesca; Soda, Paolo; Avanzo, Michele; Stancanello, Joseph; Aiello, Marco; Interlenghi, Matteo; Salvatore, Marco",Springer Nature,2019
,74,AI-Based Classification and Retrieval of Reusable Software Components,"Prasad, A.;Park, E. K.",IEEE Computer Society Press,1993
,75,AIS-Based Intelligent Vessel Trajectory Prediction Using Bi-LSTM,"Yang, Cheng-Hong; Wu, Chih-Hsien; Shao, Jen-Chung; Wang, Yi-Chuan; Hsieh, Chih-Min",IEEE,2022
,76,"AISÉIRĠE, 1942","F. ó, M.",Comhar Teoranta,1942
,77,AI-Empowered Recommender System for Renewable Energy Harvesting in Smart Grid System,"Patel, Rushil Kaushikkumar; Kumari, Aparna; Tanwar, Sudeep; Hong, Wei-Chiang; Sharma, Ravi",IEEE,2022
,78,AI-generated works and copyright law: towards a union of strange bedfellows,"Salami, Emmanuel",OXFORD UNIVERSITY PRESS,2021
,79,Ai-care: a Clinical Decision Support System with Application in Bipolar Disorder,"Thermolia, C.; Bei, E.; Petrakis, E.","Elsevier Science B.V., Amsterdam.",2015
,80,AI~2O~3-ZrSiO~4 Suspensions for Slip Casting Stabilized with Sodium Alginate,"Zhang, X.-D.; He, W.",Gruppo Editoriale Faenza Editrice,1995
,81,AI-Assisted Exploration of Superionic Glass-Type Li^+ Conductors with Aromatic Structures,"Hatakeyama-Sato, Kan; Tezuka, Toshiki; Umeki, Momoka; Oyaizu, Kenichi",ACS AMERICAN CHEMICAL SOCIETY,2020
,82,AI-based rapid placental assessment tool,"Gernand, Alison D.; Goldstein, Jeffery A.; Parks, W. Tony; Chen, Yukun; Zhang, Zhuomin; Davaasuren, Dolzodmaa; Wu, Chenyan; Beck, Celeste; Taylor, Leigh; Wang, James Z.","Elsevier Science B.V., Amsterdam",2019
,83,AI-based Web Service Composition: A Review,"Rodríguez, Guillermo; Soria, Álvaro; Campo, Marcelo",Taylor & Francis,2016
,84,AI's achilles' heel: Ambiguity,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,85,AI-Enabled Cross-Modal Communications,"Wei, Xin; Zhou, Liang",IEEE,2021
,86,AI-Driven prediction of binding trends of SARS-CoV-2 variants from atomistic simulations,"Capponi, Sara; Wang, Shangying; Navarro, Erik; Bianco, Simone","Elsevier Science B.V., Amsterdam",2022
,87,AIS: Getting to grips with the timetable for the installation of an automatic identification system,unknown,"MARINE PUBLICATIONS, INTERNATIONAL LIMITED",2003
,88,"AI-Based Personalized E-Learning Systems: Issues, Challenges, and Solutions","Murtaza, Mir; Ahmed, Yamna; Shamsi, Jawwad Ahmed; Sherwani, Fahad; Usman, Mariam",IEEE,2022
,89,AI-Assisted Decision-making in Healthcare,"Lysaght, Tamra; Lim, Hannah Yeefen; Xafis, Vicki; Ngiam, Kee Yuan",Springer Nature,2019
,90,AI-Enhanced Audit Inquiry: A Research Note,"Raschke, Robyn L.; Saiewitz, Aaron; Kachroo, Pushkin; Lennard, Jacob B.",Strategic and Emerging Technologies Section of the American Accounting Association,2018
,91,AI-Assisted Edge Vision for Violence Detection in IoT-Based Industrial Surveillance Networks,"Ullah, Fath U Min; Muhammad, Khan; Haq, Ijaz Ul; Khan, Noman; Heidari, Ali Asghar; Baik, Sung Wook; de Albuquerque, Victor",IEEE,2021
,92,AI-BASED DIGITAL PHENOTYPING OF BEHAVIORAL AND PSYCHIATRIC SYMPTOMS IN DEMENTIA: CLINICAL IMPLICATIONS,"Vahia, Ipsit V.; May, Rose; Kabelac, Zach; Hoti, Kreshnik; Munir, Usman; Owoyemi, Praise; Monette, Patrick; Katabi, Dina",John Wiley & Sons Ltd,2019
,93,AI-DARWIN: A first principles-based model discovery engine using machine learning,"Chakraborty, Arijit; Sivaram, Abhishek; Venkatasubramanian, Venkat","Elsevier Science B.V., Amsterdam.",2021
,94,AI-boosted software automation: learning from human pair programmers,"Peng, Xin; Xing, Zhenchang; Sun, Jun",Springer Nature,2019
,95,AI4ESP - AUTONOMOUS WELL SURVEILLANCE FOR ESP PUMPS USING ARTIFICIAL INTELLIGENCE,"Van Rensburg, Nico Jansen",Society of Petroleum Engineers,2019
,96,AI-driven attenuation correction for brain PET/MRI: Clinical evaluation of a dementia cohort and importance of the training group size,"Ladefoged, Claes Nøhr; Hansen, Adam Espe; Henriksen, Otto Mølby; Bruun, Frederik Jager; Eikenes, Live; Øen, Silje Kjærnes; Karlberg, Anna; Højgaard, Liselotte; Law, Ian; Andersen, Flemming Littrup","Elsevier Science B.V., Amsterdam",2020
,97,Aiséirġe Says,"Ó Cuinneagáin, G.",Comhar Teoranta,1944
,98,AI's lost genius,unknown,IPC MAGAZINES LTD,2018
,99,AI-Driven Maintenance Support for Downhole Tools and Electronics Operated in Dynamic Drilling Environments,"Kirschbaum, Lucas; Roman, Darius; Singh, Gulshan; Bruns, Jens; Robu, Valentin; Flynn, David",IEEE,2020
,100,AI-enabled recruiting: What is it and how should a manager use it?,"Black, J. Stewart; van Esch, Patrick","Elsevier Science B.V., Amsterdam.",2020
,1,AIṪ-ḊÉIRDRE,M,Comhar Teoranta,1945
,2,Aiḃléisiú na Tuaiṫe,"Ó Ceallaċáin, Míċeál",Comhar Teoranta,1946
,3,AI-enabled dynamic finish machining optimization for sustained surface integrity,"Schoop, Julius; Poonawala, Hasan A.; Adeniji, David; Clark, Benton",Elsevier Science B.V.Amsterdam,2021
,4,AI-based Diagnostics for Fault Detection and Isolation in Process Equipment Service,"Svetla Vassileva, Lyubka Doukovska, Vassil Sgurev",SLOVAK ACADEMY OF SCIENCES,2014
,5,AI-Enabled Blockchain-Based Access Control for Malicious Attacks Detection and Mitigation in IoE,"Bera, Basudeb; Das, Ashok Kumar; Obaidat, Mohammad S.; Vijayakumar, Pandi; Hsiao, Kuei-Fang; Park, Youngho",IEEE,2021
,6,AI's 10 to Watch Call for Nominations,unknown,IEEE COMPUTER SOCIETY,2020
,7,Ai-je un risque de cancer : Internet vous repond,"Manus, J. M.",ELSEVIER SCIENCE B.V. AMSTERDAM,2008
,8,"AI-Designed, Living Robots Can Self-Replicate","Mertz, Leslie",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2022
,9,Aiṫriġe,"Ó Beaċáin, Breanndán",Comhar Teoranta,1947
,10,AI-based audit of fuzzy front end innovation using ISO56002,"Khan, Rizwan; Adi, Erwin; Hussain, Omar",Emerald Group Publishing Limited,2021
,11,"AI-Enabled Object Detection in UAVs: Challenges, Design Choices, and Research Directions","Jain, Ayush; Ramaprasad, Rohit; Narang, Pratik; Mandal, Murari; Chamola, Vinay; Yu, F. Richard; Guizan, Mohsen",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,12,AI-Managed Cognitive Radio Digitizers,"de la Rosa, Jose M.",IEEE,2022
,13,AI-Based Optimization for Fleet Management in Maritime Logistics,"Bruzzone, A.; Orsoni, A.; Mosca, R.; Revetria, R.",unknown,2002
,14,"Aiṫne Na mBó Maol ""Máire""",unknown,Comhar Teoranta,1944
,15,AI-based modeling and data-driven evaluation for smart manufacturing processes,"Ghahramani, Mohammadhossein; Qiao, Yan; Zhou, MengChu; O Hagan, Adrian; Sweeney, James",IEEE,2020
,16,AI-Based Design of a Parallel Robot Used as a Laser Tracker System: Intelligent vs. Nonlinear Classical Controllers,"Zavala-Yoe, R.; Ramirez-Mendoza, R.A.; Chaparro-Altamirano, D.",SPRINGER-VERLAG,2014
,17,AI-Assisted Local Area Network Diagnostic System,Chun Hon Wai;Kwong Fong Chi,SPICIS,1992
,18,AI-Based Reconstruction for Fast MRI&#x2014;A Systematic Review and Meta-Analysis,"Chen, Yutong; Schonlieb, Carola-Bibiane; Lio, Pietro; Leiner, Tim; Dragotti, Pier Luigi; Wang, Ge; Rueckert, Daniel; Firmin, David; Yang, Guang",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,19,AI-based techniques for alarm handling,Harold E. Dijk,IPC Science and Technology Press,1992
,20,AI-MIX: Using Automated Planning to Steer Human Workers Towards Better Crowdsourced Plans,"Manikonda,  Lydia; Chakraborti,  Tathagata; De,  Sushovan; Talamadupula,  Kartik; Kambhampati,  Subbarao",American Association for Artificial Intelligence,2014
,21,AI-based condition monitoring of the drilling process,"Brophy, B.; Kelly, K.; Byrne, G.",ELSEVIER SCIENCE,2002
,22,AI-Based Multi-Dimensional Spatial Interpolators,"Wong, P. M.",GORDON & BREACH SCIENCE PUBLISHERS S A,1998
,23,AI2 PREDICTORS OF PARKINSON DISEASE IN A MEDICARE POPULATION: AN APPLICATION OF MACHINE LEARNING IN EARLY DISEASE DETECTION,"Icten, Z.; Burns, S.M.; Menzin, J.A.","Elsevier Science B.V., Amsterdam",2020
,24,AI-Based Formulation for Mechanical and Workability Properties of Eco-Friendly Concrete Made by Waste Foundry Sand,"Amlashi, Amir Tavana; Alidoust, Pourya; Pazhouhi, Mahdi; Niavol, Kasra Pourrostami; Khabiri, Sahand; Ghanizadeh, Ali Reza",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2021
,25,AI-Co-Fe-Ti (Aluminum-Cobalt-Iron-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,26,AI/ML‐driven simulation of the skin retention of opioid analgesics following topical administration in normal skin and cutaneous lesions,"Khotimchenko, Maksim; Antontsev, Victor; Chakravarty, Kaushik; Hou, Hypatia; Varshney, Jyotika",John Wiley & Sons Ltd,2022
,27,AI-Augmented Behavior Analysis for Children With Developmental Disabilities: Building Toward Precision Treatment,"Ghafghazi, Shadi; Carnett, Amarie; Neely, Leslie; Das, Arun; Rad, Paul",IEEE,2021
,28,AI-assistance for predictive maintenance of renewable energy systems,"Shin, Won; Han, Jeongyun; Rhee, Wonjong","Elsevier Science B.V., Amsterdam.",2021
,29,"AI-driven, Context-Aware Profiling for 5G and Beyond Networks","Koursioumpas, Nikolaos; Barmpounakis, Sokratis; Stavrakakis, Ioannis; Alonistioti, Nancy",IEEE,2021
,30,AI-Envisioned Blockchain-Enabled Signature-Based Key Management Scheme for Industrial Cyber&#x2013;Physical Systems,"Das, Ashok Kumar; Bera, Basudeb; Saha, Sourav; Kumar, Neeraj; You, Ilsun; Chao, Han-Chieh",IEEE,2021
,31,AI-Based Topology Optimization of Freehand Sketches,"Garrelts, Enno; Huber, Marco; Roth, Daniel; Binz, Hansgeorg","Elsevier Science B.V., Amsterdam",2021
,32,AI-Based Learning Style Prediction in Online Learning for Primary Education,"Pardamean, Bens; Suparyanto, Teddy; Cenggoro, Tjeng Wawan; Sudigyo, Digdo; Anugrahana, Andri",IEEE,2022
,33,AI-RADS: An Artificial Intelligence Curriculum for Residents,"Lindqwister, Alexander L.; Hassanpour, Saeed; Lewis, Petra J.; Sin, Jessica M.","ELSEVIER SCIENCE B.V., AMSTERDAM",2021
,34,AI-VCR Addition Computing without Overflowing,"Ye, Q.-s.",Berlin; Springer,2010
,35,"AI: Practice, Not Promise, in Law Firms","Walters, Ed",AMERICAN BAR ASSOCIATION,2019
,36,AI-Ni-Si (Aluminum-Nickel-Silicon),"Raghavan, V.",ASM INTERNATIONAL,2005
,37,AI-based monitoring of retinal fluid in disease activity and under therapy,"Schmidt-Erfurth, Ursula; Reiter, Gregor S.; Riedl, Sophie; Seeböck, Philipp; Vogl, Wolf-Dieter; Blodi, Barbara A.; Domalpally, Amitha; Fawzi, Amani; Jia, Yali; Sarraf, David; Bogunović, Hrvoje","Elsevier Science B.V., Amsterdam.",2022
,38,AI-Mn-Ti (Aluminum-Manganese-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,39,AI-based Plant Control,"Takami, G.",unknown,2020
,40,"AI-employee collaboration and business performance: Integrating knowledge-based view, socio-technical systems and organisational socialisation framework","Chowdhury, Soumyadeb","Elsevier Science B.V., Amsterdam.",2022
,41,AI/NLP Technologies Applied to Spacecraft Mission Design,"Pazienza, M. T.; Pennacchiotti, M.; Vindigni, M.; Zanzotto, F. M.",Berlin; London; Springer,2005
,42,AI-based language models powering drug discovery and development,"Liu, Zhichao; Roberts, Ruth A.; Lal-Nag, Madhu; Chen, Xi; Huang, Ruili; Tong, Weida","Elsevier Science B.V., Amsterdam.",2021
,43,AI-Guided Reasoning-Based Operator Support System for the Nuclear Power Plant Management,"Hanna, Botros; Son, Tran Cao; Dinh, Nam","Elsevier Science B.V., Amsterdam.",2021
,44,AI-Based Stroke Disease Prediction System Using ECG and PPG Bio-Signals,"Yu, Jaehak; Park, Sejin; Kwon, Soon-Hyun; Cho, Kang-Hee; Lee, Hansung",IEEE,2022
,45,AI-Enabled Massive Devices Multiple Access for Smart City,"Peng, Wei",IEEE,2019
,46,AI-enabled remote and objective quantification of stress at scale,"Al-Jebrni, Abdulrhman H.; Chwyl, Brendan; Wang, Xiao Yu; Wong, Alexander; Saab, Bechara J.",ELSEVIER SCIENCE B.V. AMSTERDAM,2020
,47,AI: Archival Intelligence and User Expertise,"Yakel, E.; Torres, D. A.",SOCIETY OF AMERICAN ARCHIVISTS,2003
,48,AI-enabled digital forgery analysis and crucial interactions monitoring in smart communities,"Seddik, Ahmed; Maleh, Yassine; El Banby, Ghada M.; Khalaf, Ashraf A.M.; Abd El-Samie, Fathi E.; Gupta, Brij B; Psannis, Konstantinos; Abd El-Latif, Ahmed A.","Elsevier Science B.V., Amsterdam.",2022
,49,AI-enhanced breast imaging: Where are we and where are we heading?,"Bitencourt, Almir; Daimiel Naranjo, Isaac; Lo Gullo, Roberto; Rossi Saccarelli, Carolina; Pinker, Katja","Elsevier Science B.V., Amsterdam.",2021
,50,AI's increase risk of joint pain/stiffness?,unknown,ADIS,2007
,51,AI-RPG Toolkit: Towards A Deep Model Implementation for Improvisational Virtual Drama,"Chiu, C.-C.; Kao, E. C.-C.; Chang, P. H.-M.; Soo, V.-W.",SPRINGER-VERLAG,2007
,52,"AI-Oriented Large-Scale Video Management for Smart City: Technologies, Standards, and Beyond","Duan, Lingyu; Lou, Yihang; Wang, Shiqi; Gao, Wen; Rui, Yong",IEEE COMPUTER SOCIETY,2018
,53,AI-based industrial full-service offerings: A model for payment structure selection considering predictive power,"Häckel, Björn; Karnebogen, Philip; Ritter, Christian","Elsevier Science B.V., Amsterdam.",2022
,54,AI-Enhanced Offloading in Edge Computing: When Machine Learning Meets Industrial IoT,"Sun, Wen; Liu, Jiajia; Yue, Yanlin",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,55,AI-enabled privacy-preservation phrase with multi-keyword ranked searching for sustainable edge-cloud networks in the era of industrial IoT,"Deebak, B D; Memon, Fida Hussain; Dev, Kapal; Khowaja, Sunder Ali; Qureshi, Nawab Muhammad Faseeh","Elsevier Science B. V., Amsterdam",2022
,56,AI-Driven Decision Making for Auxiliary Diagnosis of Epidemic Diseases,"Lin, Kai; Liu, Jiayi; Gao, Jian",IEEE,2021
,57,AI-Supported Web-based Virtual Prototyping and Planning for Assembly,"Zha, X. F.; Li, L. L.","NRC Research Press,",2004
,58,"AI-based identification of low-frequency debris flow catchments in the Bailong River basin, China","Zhao, Yan; Meng, Xingmin; Qi, Tianjun; Qing, Feng; Xiong, Muqi; Li, Yajun; Guo, Peng; Chen, Guan","Elsevier Science B.V., Amsterdam.",2020
,59,AI-empowered millimeter wave communication and networking,"Xu, Wenjun; Huang, Chuan; Huang, Yongming; Yuen, Chau; Cui, Shuguang",IEEE,2020
,60,AI1 A MACHINE LEARNING APPROACH TO PREDICTING MORTALITY IN CYSTIC FIBROSIS,"Rodriguez, P.J.; Heagerty, P.J.; Goss, C.H.; Veenstra, D.L.; Bansal, A.","Elsevier Science B.V., Amsterdam",2020
,61,AI-Ni-Ti (Aluminum-Nickel-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,62,AI3 PREDICTION OF BREAST CANCER USING K-NEAREST NEIGHBOUR: A SUPERVISED MACHINE LEARNING ALGORITHM,"Pandey, S.; Sharma, A.; Siddiqui, M.K.; Singla, D.; Vanderpuye-Orgle, J.","Elsevier Science B.V., Amsterdam",2020
,63,AI-driven deep convolutional neural networks for chest X-ray pathology identification,"Albahli, Saleh  ; Ahmad Hassan Yar ; Ghulam Nabi",Academic Press,2022
,64,AI-powered drug discovery captures pharma interest,"Smalley, E.",Nature Publishing Group,2017
,65,AI-controlled brain implants for mood disorders tested in people,"Reardon, S.",Nature Publishing Group,2017
,66,AI-DRIVEN WELL TIMELINES FOR WELL OPTIMIZATION,"Dalgliesh, Jeff; Jones, Allen; Palanisamy, Arulmozhi; Schmauser, Justin",Offshore Technology Report,2019
,67,"Ai: Or, a Portrait of the Poet in Overripe Years","VOLOHONSKY, H. ; PEVEAR, R.",Jean Stein,1989
,68,AI4Eq: For a True Global Village Not for Global Pillage,"Manjarres, Angeles; Pickin, Simon; Artaso, Miguel A.; Gibbons, Elizabeth","THE IEEE, INC.",2021
,69,AI-Based Methods and Technologies to Develop Wearable Devices for Prosthetics and Predictions of Degenerative Diseases,"Malcangi, Mario",HUMANA PRESS,2021
,70,AIS>2 in at least two body regions: A potential new anatomical definition of polytrauma,"Butcher, N.; Balogh, Z. J.","Elsevier Science B.V., Amsterdam.",2012
,71,AI-Mn-Ni-Ti (Aluminum-Manganese-Nickel-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,72,AI-based competition of autonomous vehicle fleets with application to fleet modularity,"Li, Xingyu; Epureanu, Bogdan I.","Elsevier Science B.V., Amsterdam.",2020
,73,AI-Based Classification of Single-Trial EEG Data,"Ivanova, I.; Pfurtscheller, G.; Andrew, C. M.",IEEE,1995
,74,AI/Simulation Based Air Traffic Control Training,"Hirmanpour, I.; Kornecki, A. J.; Towhidnejad, M.",ATCA,1991
